comment,toxic
"возьм пример росс западноевропейск стран сша идет метисац сознательн политик замещен бел населен пришл черно-коричнев идет создан нов рас метис исламизац почернен крупн город половин населен - выходц ебен мексик африк ближн восток случа росс - кавказ средн аз этническ ниггеро-арабск гетт вер ху закон хот чудовищн масштаб этническ преступн говор миграц затрагива тем замещен корен населен власт инач бутылк свобод слов молод человек говор бел должн вымерет нормальн - бел официальн вымира ведет пропаганд инач направлен снижен рождаем бел населен феминизм лгбт чайлдфр кажд женщин швец - леволиберальн феминистк стран побед феминизм сегодн происход - страшн дела пропагандир смеша брак межрасов брак пропагандир превосходств детей-метис идет демонизац бел пропаганд превосходств черн смугл мужчин форс отношен бел женщин смугл черн мужчина-мигрант результат - все чернильниц все смеша брак все небел метис бел женщин прост хот контактирова мужчин сво нац рас надел сам плох качеств обожествл черн большинств бел счита завоз чурок чем-т плох наоборот относ толерантн провод политик насажден толерантн мультикультурализм политкорректн космополитизм набира популярн росс sjw - вообщ отдельн тем обсужден все вышеперечислен относ сильн когда-т стран бывш импер нагиба слаб сегодн происход бывш импер прям смысл деградир вырожда вымира мест сильн когда-т господств народ занима те ког когда-т колонизирова франц будут доминирова негр араб росс - кавказц выходц средн аз великобритан - индийц негр араб пакистанц etc маленьк нейтральн стран врод словен беларус литв чех румын эстон - все пучк вымиран гроз оста будут остава бел ведет политик направлен сохранен традицион ценност культур корен населен сказа беженц польш например русск украинц горазд легч перееха оста араб африканц герман ситуац противоположн бел ждут польш чех словак венгр словен хорват серб биг черногор македон грец болгар румын молдов украин белар литв латв эстон - европ будущ скандинав южн западн европ такж росс - лишат корен населен сво культур","0"
"стар маразматик писа кириллиц латинниц видн спор задвига русск язык видн дальш скажут казахск внезапн пол стран окажет втор сорт ( над ошиба проход друг стран аз прибалтик закавказ ) мир всем мир русск слон лучш друг казахск слон","0"
"шизофаз ( речев разорван ) симпт психическ расстройств выража нарушен структур реч котор отлич речев бессвязн ( поток несвяза слов ) фраз стро правильн однак несут никак смыслов нагрузк содержан реч соответств содержан бред расстройств реч отража разорван мышлен пациент расстройств характерн прежд шизофрен понят шизофаз введ э. крепелин год некотор врем счита особ форм шизофрен некотор автор выделя отдельн форм шизофрен так назван шизофаз характерн повышен речев активн речев напор такж симпт монолог характериз речев неистощим отсутств потребн собеседник прав симпт сочета внешн упорядочен доступн общен относительн интеллектуальн аффективн сохран больн отличительн черт шизофаз счита преимуществен продукц морфемн словообразован глоссоманиакальн высказыван помим параноидн форм шизофрен возника тяжел слабоум","0"
"совк сам лучш образован ! - мнен любител заряжа вод телевизор совк сам красив девушк ! - мнен новиоп совк сам лучш товар ! - мнен любител подтира жоп газет туалетн бумаг совк сам лучш медецин ! - мнен сам абортируем народ совк сам лучш техник ! - мнен любител плагиат совк сам высок уровен жизн ! - мнен любител дефицит","1"
"самоподдув манямирк какл ве мир алл завид жител нищ полубандитск папуас окраин росс","1"
"пен штат невад большинcтв подпоcтк невад пазпеш вод машин по законоппоект котоп паccмотп законодательн опган штат невад законоппоект аccамбл наппавл на паcшипен cущеcтв гоcудапcтвен закон позвол cельcк жител возпаcт от лет cамоcтоятельн езд школ небольш гопод окпуг ход школьн автобуc эт меп поддепжа депутат аccамбл алекcиc ханcен ппедоcтав ппивилег учащимc незавиcим от тог находитc школ эт означа что 14-летн дет могут вcкоп езд школ котоп ппедоcтавля автобуc ученик даж так кпупн окпуг как уош клапк водител штат невад могут получ ппав учащегоc возпаcт 15,5 лет ппи уcлов что он везут c cоб паccажип котоп иcполнилc год нег оп вожден мен год невад - один немног штат кто пазпеша водител получа пазпешен учащихc возпаcт до лет южн дакот выда учащимc возпаcт лет огпаничен ппав возпаcт 14,5 лет","0"
"дава разбер все тоб написа бляяд действительн дума пидорашек ? цел все живет рашк - затронут говномидас никт призна воспитыва масс хорош кодер соседн тред обосса ид обтека унижа русск дет школ уч рашк класс котор состоя онл русачк дума измен ? чурк теб говн жоп зал застав русачк класс кошмар омежн русачк ? любл выража фраз нацик воистин столет прост сидел гор еба баран народ-пидор смог захват плоховат знаеш истор русн пришл кавказ все подел осман перс ри наеба перс постоя напада осман высасыв причин пальц принцип русачк ещ ожида прошл ( чеченц даг проч сорт ) прост дикар ... говор среднеазиат котор бугурт оккупац обычн нищ кочевник очередн акт незнан истор например кавказц факт народ отвествен этногенез даг азер дербент русачк план почита истор кавказ средн аз локальн импер нагиб округ проч проч называ русск пидорашк славщит говор плох знаком po рашер irl котор явля русск котор ссут русн ещ больш колокольн бо пидорашк сдела пар дырок защищ посад бутылк убьет пидорашк ниху рашк моч волын нож человек котор идет кулак - превышен предел самооборон ? виноват русн настольк вырожденческ чеченск доходяг став колен групп русачк ? дума буд русняв гопот мен вырожденческ люд кошмар ? виноват мороз дает съебатор вид ваш славянск друг избива унижа ? митинг вспомн жирик как парн колен постав вокруг сто снима словн стад русняв баран зуб да то толп стоя друз знаком личн пиздец особен проигрыва братуха-борцух смарчек чеченск брос броса друг так пиздец важн нац друг напада вся ваш проблем слабк большинств русачк ебл похож свин тысяч лет существован смогл постро нормальн цивилизац друг дава проблем обыкновен ошибк выж вид кавказск быдл гопник он средн сильн напорист агрессивн образ кавказц лиц котор представля опасн выжига мозг хот замеча цел город набит русняв ауешник среднестатистическ русняв гопник ауешник быдлойд сосет одн среднестатистическ чуркобесск гопник быдлойд конечн итог русачк станиц кущевск еба ? друг русачк школ приезжа выбера лол поебк ? друг русачк сжига русачк ? друг русачк все вскрыл совершен случайн скольк так станиц деревен город все рашк ? аз-кун","1"
"тролл несеш ? присоедин искон русск територ искон русск терриор","1"
"люд зажра охуел мнен эт игрок андромед антем хот че багаутом76 сравнива вон ... он че оказыва игрок прост охуел ок долба пидерас хот покупа так отличн игр смеют руга божествен геймпл баг хуев геймпл поправ контент запил год прич бесплатн ! аг сто лиш потерпет !","1"
"ладн обсер поня можеш уход","1"
"бляд хохл прокс писа няш туп","1"
"уважа реальн глуп вкурива чьих имен трус идет реч ? прост дурак валя ?","1"
"сут никт работа дольш 3-х лет стаж тип сириус контор филиал роскос универ 15-20к работа всяк лаборатор уебыва вольн хлеб постоя старич совков пошив сотн начальник котор работ ход чист зп получа","0"
"так повер )","1"
"говор алиэкспересск ланск очен быстр стира камн подумыва приобретен заточн систем сво складник оригинальн покупа дор китайск как-т хз ) итог польз самодельн )","0"
"сожален приход опуска уровн понятн туп пиндос показыва мультик пиндос поня скольк секунд исчезнут вмест сво фашингтон","1"
"туп шлюх эт мраз лил отбеливател штан ним ед дел облива штан охуен наверн баловств он так ! прикол преследова цел бабск ебанут мест явн прослежива могл прост стрельнут водн пистолет вод вс ! мужик задума никт обид","1"
"кстат говор сельск жител хохл попрацовит будут кацап хохл огородик садочок вишнев бил хат обязательн палисадник цветочк плезир одн слов цар петр говор кацап дом брев помойк двор цыга","1"
"подгора одн мест видим перц намаза ....","1"
"те быдл те быдл пизд быдл нормальн","1"
"антон ве красн !","0"
"гомосексуалист ?","1"
"коммент - ответ коммент видн прям монитор ответ тем ваш выступлен - выезд лыж ... зна откуд туд вернут","1"
"явн россиянин перв одн россиянин придет голов спрашива чье-т мнен вопрос крым втор сегрегац люд помощ вопрос че крым чист холяцко-нацистск приемчик пал порохобот трет - свободн стран кажд имеет прав сво собствен мнен люб вопрос кандидат президент открыт заявля крым вернут украин","1"
"как век бляд ?","1"
"ясно-понятн высказа аргумент может умеет минус нажа ок пошл - безмозгл разговарива все равн скор докрас рул дтп помрет естествен отбор чо","1"
"тво гражда ? тво товар ? растет продолжительн жизн ? те гауляйтер - тво хозяева-кормильц преда насил российск народ ежедневн ежечасн торгует недр пыта пристро награблен подальш ограбляемогонарод наполн стран полица защища исключительн ваш интерес российск народ гон нат нефт газ лес проч ресурс котор ворует россия облож дан мелк крупн торговц самозанят выжива беспредел грабеж воровств творим вам стран оплачива сво прав кров народ сво прав уничтожен сам народ деньг преврат мер прав прав здравоохранен образован защит базов прав требует оплачива счит людьм граждан ник кром тех все оплат звонк монет войск нат приведет стран сво неудержим жажд денег власт сдела ваш свято-кровав николашк привед росс сво партнер - ваш партнер - мо знайт ваш партнер грабительск бизнес придут лиша ваш дол будут друг сторон фронт российск народ - точн вмест друг сторон фронт экономическ последн лет ваш голов дам гнил картошин бойт бойт - прост враг - предател собствен народ говн безродн нелюд очист стран так возможн е защит запиш оборот сво методичк переда команд","1"
"тамбовск волк теб товарищ !","1"
"всраньк лех пын влад сися затрав шлюх поч ? тян","1"
"жизн куп так дорог пив ... повседневн жител столиц вещ повседневн вон родител приезжа провод мощн культурн программ - езд гор океа т.д получа очен насыщен все остальн врем год дела намн реж повседневн - метр историческ центр ( архитектур ) больш выбор ( кнотеатр театр вуз магазин бизнес ) меньш уныл","1"
"navalny макс галкин maxgalkinru зада вопрос удовольств отвеча макс спасиб подня так важн пробл однак соглас вам мог пода дел владимир солов - прост звезд шоу-бизнес наподоб американск опр зарабатыва знач покупа дом угодн солов - государствен пропагандист государствен телевиден везд вылеза экра талантл стран тв-монопол государств солов гот врат друг держат экран реальн конкуренц ток-шо телеведущ солов мест - третьесортн радиоведущ как собствен настоя звезд ток-шо наш телевиден выгна программ закр соображен цензур макс говор рейтинг прибыл котор солов принос канал россия-1 смотр таблиц бюджет наш стран виж россия-1 глубок убыточн ежегодн получа бюджетн дотац 24,6 миллиард рубл прошл год миллиард макс хват оплат операц всем больн дет стран ушл гонорар всяк соловьев преврат вилл итальянск озер ком солов принос - налогоплательщик - ( макс ) принос деньг карма хоч оплачива роскошн итальянск жизн лжец лицемер мерзавц никак ненавист богат никак большивизм здрав смысл виде взят телекана дожд логотип обреза злом умысл отреза инстагр дел ролик квадратн","1"
"повер н л","0"
"способн глубок анализирова событ недавн объеба голландск оркестр напиздел разрушен взрыв дом париж ? погод аналитическ талант проявля говор реж путин падет - неизвестн неизвестн точн падет ? мотив цар гомоимпотент завидова бон - поэт росс воева франц ? народ восток плох посмотр - меч крив ? непревзойден рассудительн мудрост обвиня соколов краж концепц котор сто лед обед - охуительн мудрост подава суд основ ролик пинк лак - пиздец рассудительн умен переспарива люб подсадн оппонент ( гур прав ход туд дают выигра ) пофикс гениальн артистизм пронима душ пен все шутк пардон распозна оппозиц спонсир талантлив люд оппозиц женичк определ суд эт слов обычн ныт похож двухмэтр хотел присоса карман какого-т богате встреч фиг ? сокол .. зяблик солов неприятн ебж тем вылаз оговорк бол скрыт","1"
"мастер действительн бе-бе-б ..","0"
"племен украинц особен западн детств привива две мысл 1. сам умн 2. ловк наеба - знач молодец понят подлост чест отсутств нацел поэт маленьк дружок вся тво натужн изворотлив работа пообща тоб пят минут люб росс поймет как сорт имеет дел раз услыша мягк акцент тво реч","1"
"знаком лет кур все муж кур кур квартир ( вытяжк принудительн мощн кухн ) тянет сих пор е сны снят внов закур сих пор жар броса холод тяг стара выпива алкогольн напитк желан взят снов сигарет адск прост нараста занима йог пробежк утр дел сид отвлеч ..","0"
"как хохл хайзенберг пиздец прост","1"
"шизоид установ взаимосвяз лол ? толчк зигзаг бега ?","1"
"тупой-тупой-туп ти-ля-ля-лю-л !","1"
"? ид отседов","1"
"уважа бред завар ка картинк люб завод сварк так подойдет ?","1"
"бляд ебан шизоид можеш нормальн выража сво мысл ? тво поток сознан чита прост возможн возника ощущен разорва мышлен речев бессвязн прост словесн шум какой-т прим таблетк забыва посеща психиатр котор наблюда","1"
"числ проституток израил продолжа раст минувш недел ход ежегодн конференц положен женщин провод институт еврейск исследован имен шехтер иерусалим представл доклад котор рассказыва сексуальн эксплуатац израил согласн эт доклад пишет газет the jerusalem post настоя врем проституц израил вовлеч окол тысяч человек женщин особ отмеча примерн сред несовершеннолетн исследовател пришл вывод возраст перв опыт проституц некотор лет внов предыдущ исследован отмеча мног проститутк переж сексуальн насил детств доклад сказа проституток конечн итог получа самостоятельн прекрат занима торговл сво тел дан приведен доклад верн последн два-тр год числ проституток израил выросл ран редакц newsru.co.il публикова дан национальн исследован проституц израил год согласн котор период проституц израил занима окол тысяч человек ( женщин несовершеннолетн ) дан исследован проституток род израил составля бывш уроженк стран бывш ссср прич проституток еврейк гражданк израил проституток дет дет лет проституток обслужива сем клиент ден женщин заявля пришл проституц из-з тяжел финансов ситуац из-з наркотик свыш проституток заявля испытыва издевательств ( физическ вербальн ) сторон клиент люд занима проституц говор хотел занима работ напомн декабр год втор трет чтен кнессет утвержд законопроект запрет приобретен услуг проституток последн закон принят кнессет 20-го созыв законопроект пода министр юстиц айелет шакед закон вступ сил июл год согласн эт закон приобретен секс-услуг пребыван мест предоставля так услуг счита уголовн преступлен размер штраф приобретен секс-услуг состав 2.000 шекел перв нарушен 4.000 повторн нарушен отдельн случа прокуратур предъяв обвинен уголовн преступлен максимальн размер штраф состав 75.300 шекел кром полицейск смогут выписыва штраф всем присутств мест преступлен заним выяснен обстоятельств присутств мест предназначен покупк секс-услуг провод наш редакц год опрос показа большинств наш читател выступа легализац проституц израил поддержива инициатив наказан клиент проституток прич так отношен проблем проституц оста неизмен течен мног лет","0"
"понима получа 15-20 лет назад хвата времен прослуша перечислен групп одн альб мета ещ хвата времен панк хардкор помим работ ещ институт врем времен музык дева свободн врем ?","0"
"что-т пишеш мог бамбанул хах порва учет ваш длин комментариев- смееш умствен отстал ? какие-либ критер смеют умствен отстал ? обычн пишеш абстрактн вещ смысл котор теб понят ?","1"
"под рот мыл вымойт товарищ","1"
"поня пидор ебан поляк наверн ид урок выуч портфел собер че","1"
"азахх ржачн ват всу напа донбасс аххах примерн арм помойсраш напа тульск област .чел обрат медицинск учрежден пупкинизм головн мозг лечат усугублен христанут","1"
"очен жал оскорблен - норм","0"
"цел встреч стал переговор сохранен поставок газ полномоч вест так переговор ? сук блядск цирк как хохл дегенерат пиздец прост","1"
"буд забан доблестн модерац pcportal org forum 51-9843-1 возможн поможет сам крайн вариант ?","0"
"уч проплатк создава тред окатыш сегодн получ грамм колбас сво ежедневн пайк роллтон волк трога пар дне шлюх лиш зван шлюх ! аря пут виноват ! ! !","1"
"знач подскоч петух жердочк вскукарекнул попрос пруф - слил извин кажет ситуац кто-т слегк неправильн ведет ?","1"
"чег мя хохл записа ? лиш им мнен цацк вперл ник сюд тащ счет бюджет ?","1"
"как-т сталкива ситуац нов сервак зависа логотип фирм материнк оказа - проблем подключ лампов моник подключ жк - отличн загруз ! пок дошл решен - успел поменя половин желез","0"
"пуст человек реша жал модер p.s гляж любител донос строч сороков полица годн получ","1"
"? сотн люд зна двум санузл дом одн об унисекс ближ свобод - люб гендер польз жоп завиля дава пруф тво нормальн человек жилищ сортир кинотеатр ! табличк пикр ! кажд пидорах дом унисекс выебыва нача ! предъяв сво отдельно-гендерн нормальн пиздобол !","1"
"убог теб говнюк повезл жизн круг говн наркома жив дальш злобств плю сво ядовит слюн побольш желч вырабатыва - быстр сдохнеш","1"
"юбик сплинтерселл нов сдела урод ленив","1"
"извин теб грязн ход приятн ?","0"
"соглас энерг виэ текущ момент дорож объясн поч правительств стран мир стара разв виэ ? ! развива нечт заведом убыточн ? !","0"
"э че бля ? че нах бл ид сюд епт .. цар гнид ? тя щас гряз растопч хуесос ептыбл","1"
"б здох мраз","1"
"прост ватсапп пользова придет став рад одн турнир обид","0"
"нашел работ отличн зп район 50-60к прост супер тк стар получа 15-30 обязан те услов собеседован стажировк дня прошел успешн понрав пропуст сб хот работ косяк )","0"
"очевидн топта дворник ещ федорович все стран занимались- прост уровен деятельн попа куколд-воевак гонор скольк дунбус грозн двер настеж - дава говн раз тво сестр будут насилова черенк веник дворник будеш прост игра подземел дракон дела вид происход джимм нейтрон напряжеш мозг будеш иска релевантн решен проблем пок сестричк венк ромашек голов раздира дырочк ссал теб рот всем кондопог чека-нацианалист тво маняврирован вопрос точн так тухл пиздабольств стрем жирн можеш гост записат достаточн всрат паток ах хул мам юбк спаса наш новиоп труск злых фашист ? пят лет собра ? дава рещ чучел","1"
"западенск какл польш - чмо пиздец как прост личн одн автобус втащ бляд приня поланд нача обкладыва русск мат согна автобус перв мест котор заплат тип ниху понима сам поляк кайф стоя смотрел русачек щем какл","1"
"век неграмотн ?","1"
"перв ряд войн погна дурик крича объект камер хоч умира ! отпуст - добр !","1"
"похож депресс врач попроб сход мб полегч жен докона","0"
"проигрыва укро-манек хот ванг укр некотор част русск шизик манямирк сам вчер проигрыва ватн вр ти сегодн сам то хуйн заня вообщ последн врем убежда ватн дегенерат фанатичн свидомит либепаx друг друг сто одн русн говн жоп залива друг - зло запад","1"
"ватник вопрос люб сралин ? ког голосова ? питун ?","1"
"грызун забыва истор - тво велик груз плат дан малолетн грузинск пидарасик жопошник перс турц","1"
"игор ? помн ? тво одноклассник узна тво шизоидн слов высер помн всем класс насса теб кружк трет класс сладкоежк ? ещ вып облизнул попрос добавк пришел забира тво отец сам дворник котор вернадск изнасилова собак получ условн срок укра плавлен сырок магазин зашел класс стал смея обосра стыд сказа жизн будеш ненавидет дворник 9м класс пошел рейд отпизд пуст круг теб налож анус восем швов пожива игоря ?","1"
"нах скинул ? тек не естествен пересмотрел е видос сам кайф канал молод человек е жоп хвата пальц рот сует привлека так тян быдл ?","0"
"позвольт узна скольк дет воспита даб утвержда ребенок - примитивн легк предсказуем алгоритм котор - знач ? удобн воспитан спихива врод жизн доб нихер дела хоч воспита мо вин вообщ родител виноват воспита ад ев ответствен несут течен плыв знач люд котор имеют проблем алкогол - быдл люд дет котор причин люб вред чуж собствен - быдл люд котор переста след сво здоров мал двига - быдл осозна риск ? люд котор вмест саморазвит приход дом смотр сериальчик прост лен что-т дела быдл разниц алкоголик способ отдохнут структурн никак разниц ? логичн вопрос быдл наш планет ?","0"
"крым украин голосяндр хохлосяндр !","1"
"b никт рад ждет - мусор никт кром сам хочет видет b продолжа спам ссылк d сво загон никт вернет","1"
"ма серц казел","0"
"знал эт поеха сука-хохлушк","1"
"тво блят стоя ! пердун стар высок духовн интеллектуал","1"
"бляд кажд втор сем развалива рассчитыва сам все порт сам друг друг мозг клюют дебил бля","1"
"так психопат ху отстрелива детств","1"
"принят воен доктрин тоб согласн пидорандел ах заб жид овств пиндос евр игнорир покрыв воен преступлен сво солдат ввод санкц прот суд гааг попытк привлеч виновн","1"
"теб кольц покупа бег глупец !","1"
"вахтер назнач ?","1"
"полутор тысяч человек стал жертв незакон онлайн-трансляц гостиничн номер южн кор сообща cnn ссылк местн полиц камер спрята телеприставк розетк держател фен отснят материа выгружа специальн сайт портал зарегистрирова четырех тысяч человек оплат ежемесячн взнос размер доллар ( тысяч рубл ) доплат пользовател могл подключ стрим прям эфир преступн схем участвова нескольк человек дво мужчин арестова отношен двух друг ведет расследован установл сотрудник гостиниц знал преступн схем прошл похож случа отел устанавлива нелегальн камер постоя тайн смотрел полиц вперв обнаруж ситуац виде транслир прям эфир интернет уточн правоохранительн орган незакон снят виде явля распространен проблем южн кор чащ злоумышленник креп скрыт камер обществен женск туалет жанр называ spycam запис поздн прода сет год десятк тысяч женщин вышл улиц сеул друг город знак протест прот так преступлен выступлен проход лозунг жизн ваш порн ран владелиц крупн южнокорейск порносайт известн имен сонг ( song ) приговор четыр год тюрьм портал размеща тысяч спыcам-запис","0"
